Eintragsnummer;Tree;BLEU;BCR;FCR;Gapping;SGF;LCO;NoCCE;"Phenomena simplified (b/f/g/s/k=not-bfgs-coord);""-"" kein Phänomen, gegebenenfalls Satzkoordination(en)";Phenomena Bemerkung;Treebank-Sentence;Reconstructed-Sentence;Gold_1;Gold_2;Gold_3
1349;(s102516_VROOT(SIMPX(SIMPX-KONJ(VF-3s(NX-ON(NX-HD-nsf(ART-nsf Die)(NN-nsf Mehrheit))(NX(NX-HD-gp*(ART-gp* der)(NN-gp* Schwarzen))(PX(APPR-d in)(NX-HD-dsf(PDAT-dsf dieser)(ADJX-dsf(ADJX(ADJD mehrheitlich))(ADJA-dsf schwarzen))(NN-dsf Stadt))))))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis hat)))(MF(NX-OA-asm3(PPER-asm3 ihn))(ADVX(ADV ebenso)))(VC-VVPP(VVPP-OV(VVPP gewählt)))(NF(NX-MODMOD(KOKOM wie)(NX-HD-nsf(ART-nsf die)(NN-nsf Mehrheit))(NX(NX-HD-gp*(ART-gp* der)(NN-gp* Weißen))(PX(ADVX(ADV oben))(APPR-d auf)(NX-HD-dpm(ART-dpm den)(NN-dpm Hügeln)))))))($D -)(KON und)(SIMPX-KONJ(VF-3p(NX-ON(ADVX(ADV auch))(ART-np* die)(NX-HD(NX-KONJ-npm(NN-npm Chinesen))(KON und)(NX-KONJ-np*(NN-np* Hispanics)))))(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis haben)))(MF(NX-OA-asm3(PPER-asm3 ihn)))(VC-VVPP(VVPP-OV(VVPP gewählt)))))($. .));1;0;0;0;0;1;0;k;Satz Koord;Die Mehrheit der Schwarzen in dieser mehrheitlich schwarzen Stadt hat ihn ebenso gewählt wie die Mehrheit der Weißen oben auf den Hügeln - und auch die Chinesen und Hispanics haben ihn gewählt .;Die Mehrheit der Schwarzen in dieser mehrheitlich schwarzen Stadt hat ihn ebenso gewählt wie die Mehrheit der Weißen oben auf den Hügeln - und auch die Chinesen und Hispanics haben ihn gewählt .;Die Mehrheit der Schwarzen in dieser mehrheitlich schwarzen Stadt hat ihn ebenso gewählt wie die Mehrheit der Weißen oben auf den Hügeln - und auch die Chinesen und Hispanics haben ihn gewählt .;;
1350;"(s102891_VROOT(SIMPXINT(SIMPX-KONJ(VF(NX-OA(NX-HD-asm(ART-asm Den)(ADJX-asm(ADJA-asm zweiten))(NN-asm Fall))($, ,)(NX(NX-HD-***(PIS-*** irgendwas))(PX(APPR-d mit)(NX-HD-dpm(NN-dpm Neonazis))))))($, ,)(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis hat)))(MF-3s(ADVX(ADV scheinbar))(NX-ON-ns*(PIS-ns* niemand)))(VC-VVPP(VVPP-OV(VVPP gesehen))))($, ,)(KON aber)(SIMPX-KONJ(VF-3s(NX-ON-ns*(PWS-ns* wer)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis guckt)))(MF(ADVX(ADV auch))(ADVX(ADV schon))(NX-OA-asm($LPar "")(NN-asm Tatort)($RPar "")))($, ,)(NF(CSIMPX(CKOU(KOUS wenn))(MF-3s(ADVX(PTKNEG nicht))(ADVX(ADV zumindest))(NX-ON-ns*(PIS-ns* jemand)))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis mitspielt)))($, ,)(NF(RSIMPX(C(NX-OA-asm(PRELS-asm den)))(MF-3s(NX-ON-ns*(PIS-ns* man)))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis kennt)))))))))($QM ?))";0,943887204770646;0;0;0;0;0;1;-;Satz Koord;"Den zweiten Fall , irgendwas mit Neonazis , hat scheinbar niemand gesehen , aber wer guckt auch schon "" Tatort "" , wenn nicht zumindest jemand mitspielt , den man kennt ?";"Den zweiten Fall , irgendwas mit Neonazis , hat scheinbar niemand gesehen , aber wer guckt auch schon "" Tatort "" , wenn nicht zumindest jemand mitspielt , den man kennt gesehen_g ?";"Den zweiten Fall , irgendwas mit Neonazis , hat scheinbar niemand gesehen , aber wer guckt auch schon "" Tatort "" , wenn nicht zumindest jemand mitspielt , den man kennt ?";;
1351;"(s104463_VROOT(SIMPX(VF(PX(PX(ADVX(ADV Erst))(APPR-d mit)(NX-HD-dsf(PDAT-dsf dieser)(NN-dsf Offenheit)))(ADVX(ADV aber))))(LK-VMFIN-3sis(VMFIN-HD-3sis(VMFIN-3sis kann)))(MF-3s(NX-ON-nsm(ART-nsm der)(NN-nsm Weg))(ADJX(ADJD frei)))(VC-VAINF(VAINF-OV(VAINF werden)))($, ,)(NF(CSIMPX(CKOU(KOUI um))($, ,)(MF(CSIMPX(CKOU(KOUS wie))(MF-3s(NX-OA-asn3(PPER-asn3 es))(NX-ON-nsm(NE-nsm Ginzburg)))(VC-VAFIN-3sis(VVPP-OV(VVPP formuliert))(VAFIN-HD-3sis(VAFIN-3sis hat))))($, ,)(NX-OD(NX-APP-dpm(ART-dpm den)(NN-dpm Begriffen))(NX-APP(NX-KONJ-dsm($LPar "")(NN-dsm Erfolg)($RPar ""))(KON und)(NX-KONJ-dsf($LPar "")(NN-dsf Niederlage)($RPar ""))))(NX-OA(NX-HD-asf(ART-asf eine)(ADJX-asf(ADJA-asf andere)))(NX-asf(KOKOM als)(ART-asf die)(ADJX-asf(ADJA-asf gängige))(NN-asf Bedeutung))))(VC-PTKZU(PTKZU-HD(PTKZU zu)(VVINF geben))))))($. .))";1;0;0;0;0;1;0;k;NP Koord Apposition;"Erst mit dieser Offenheit aber kann der Weg frei werden , um , wie es Ginzburg formuliert hat , den Begriffen "" Erfolg "" und "" Niederlage "" eine andere als die gängige Bedeutung zu geben .";"Erst mit dieser Offenheit aber kann der Weg frei werden , um , wie es Ginzburg formuliert hat , den Begriffen "" Erfolg "" und "" Niederlage "" eine andere als die gängige Bedeutung zu geben .";"Erst mit dieser Offenheit aber kann der Weg frei werden , um , wie es Ginzburg formuliert hat , den Begriffen "" Erfolg "" und "" Niederlage "" eine andere als die gängige Bedeutung zu geben .";;
1352;(s104505_VROOT(SIMPX(VF(ADVX(ADV Jetzt)))(LK-VAFIN-3pis(VAFIN-HD-3pis(VAFIN-3pis sind)))(MF-3s(NX-ON(NX-KONJ-nsm(NN-nsm Sheriff))(KON und)(NX-KONJ-nsm(NN-nsm Kapitalist)))(ADVX(ADV wieder)))(VC-VVPP(VVPP-OV(VVPP aneinandergeraten))))($. :)(SIMPX(VF(SIMPX(C-3s(NX-ON-nsn(PWS-nsn Was)))(MF(PX(APPRART-dsm am)(NX-HD-dsm(ADJX-dsm(ADJA-dsm 5.))(NN-dsm Juni)))(PX(APPR-d in)(NX-HD(NX-HD-dsf(ART-dsf einer)(NN-dsf Stanzerei))(PX(APPR-d in)(NX-HD-dsn(NE-dsn Flint))))))(VC-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit begann)))))($, ,)(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis hat)))(MF(ADVX(ADV inzwischen))(PX(APPRART-dsf zur)(NX-HD(NX-HD-dsf(NN-dsf Schließung))(PX(APPR-d von)(NX-HD(NX-HD(ADJX(CARD 24)))(NX(NX-HD-gpn(ART-gpn der)(ADJX(CARD 29))(NN-gpn GM-Werke))(NX-gsn(NE-gsn Nordamerikas))))))))(VC-VVPP(VVPP-OV(VVPP geführt))))($. .));1;0;0;0;0;1;0;k;NP Koord SB;Jetzt sind Sheriff und Kapitalist wieder aneinandergeraten : Was am 5. Juni in einer Stanzerei in Flint begann , hat inzwischen zur Schließung von 24 der 29 GM-Werke Nordamerikas geführt .;Jetzt sind Sheriff und Kapitalist wieder aneinandergeraten : Was am 5. Juni in einer Stanzerei in Flint begann , hat inzwischen zur Schließung von 24 der 29 GM-Werke Nordamerikas geführt .;Jetzt sind [Sheriff und Kapitalist] wieder aneinandergeraten : Was am 5. Juni in einer Stanzerei in Flint begann , hat inzwischen zur Schließung von 24 der 29 GM-Werke Nordamerikas geführt .;;
1353;(s101245_VROOT(SIMPX(LV(CSIMPX(CKOU(KOUS Ob))(MF-3s(NX-ON-nsn3(PPER-nsn3 es))(PX(APPR-a um)(NX-HD-apf(ADJX-apf(ADJA-apf bilaterale))(NN-apf Beziehungen))))(VC-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit ging)))(NF(PX(KON oder)(PX(APPR-a um)(NX-HD(NX-HD-asn(ART-asn das)(NN-asn Kräfteverhältnis))(PX(APPR-g innerhalb)(NX-HD(NX-APP(NX-HD-gsf(ART-gsf der)(NN-gsf Gemeinschaft))(NX-gpm(ADJX-gpm(ADJA-gpm Unabhängiger))(NN-gpm Staaten)))(NX-APP-gsf($LPar $LP$)(NE-gsf GUS)($RPar $RP$))))))))))($, ,)(VF-3s(NX-ON-nsf(ART-nsf die)(ADJX-nsf(ADJA-nsf russische))(NN-nsf Politik)))(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit bestand)))(MF(PX(APPR-d in)(NX-HD(NX-HD-dsf(ART-dsf einer)(ADJX-dsf(ADJA-dsf ungeschickten))(NN-dsf Mischung))(PX(APPR-d von)(NX-HD(NX-KONJ-dpf(NN-dpf Drohungen))(KON und)(NX-KONJ-dpf(NN-dpf Versprechungen))))))))($. .));0,815341318220363;0;0;1;0;1;0;g+k;gapping + NP Koord PP;Ob es um bilaterale Beziehungen ging oder um das Kräfteverhältnis innerhalb der Gemeinschaft Unabhängiger Staaten $LP$ GUS $RP$ , die russische Politik bestand in einer ungeschickten Mischung von Drohungen und Versprechungen .;Ob es um bilaterale Beziehungen ging oder um das Kräfteverhältnis innerhalb der Gemeinschaft Unabhängiger Staaten $LP$ GUS $RP$ , die russische Politik bestand in einer ungeschickten Mischung von Drohungen und Versprechungen .;Ob es um bilaterale Beziehungen ging oder ob_g es_g um das Kräfteverhältnis innerhalb der Gemeinschaft Unabhängiger Staaten $LP$ GUS $RP$ ging_g , die russische Politik bestand in einer ungeschickten Mischung von [Drohungen und Versprechungen] .;;
1354;"(s101578_VROOT(SIMPX(VF(SIMPX-OS($LPar "")(SIMPX-KONJ(VF-3s(NX-ON(NX-HD-nsf(ART-nsf Die)(ADJX-nsf(ADJA-nsf einseitige))(NN-nsf Politik))(NX(NX-HD-gpf(ART-gpf der)(NN-gpf Sanktionen))(PX(APPR-a gegen)(NX-HD-asm(ART-asm den)(NE-asm Iran))))))(LK-VAFIN-3sit(VAFIN-HD-3sit(VAFIN-3sit war)))(MF(ADJX(ADJD ineffizient))))(KON und)(SIMPX-KONJ(VF-3s(NX-ON(NX-HD-nsm(ART-nsm der)(NN-nsm Versuch))($, ,)(SIMPX(MF(NX-OA-apn(ADJX-apn(ADJA-apn andere))(NN-apn Länder))(PX(APPR-a für)(NX-HD(NX-HD-asf(ART-asf die)(NN-asf Linie))(NX-gpm(ART-gpm der)(ADJX-gpm(ADJA-gpm Vereinigten))(NN-gpm Staaten)))))(VC-PTKZU(PTKZU-HD(PTKZU zu)(VVINF gewinnen))))))($, ,)(MF(NX-PRED-nsm(ART-nsm ein)(NN-nsm Irrtum))))($RPar "")))($, ,)(LK-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis fügen)))(MF-3p(NX-ON-npm(ART-npm die)(NN-npm Autoren)))(VC(PTKVZ hinzu)))($. .))";0,696130448219275;0;0;1;0;0;0;g;gapping;""" Die einseitige Politik der Sanktionen gegen den Iran war ineffizient und der Versuch , andere Länder für die Linie der Vereinigten Staaten zu gewinnen , ein Irrtum "" , fügen die Autoren hinzu .";""" Die einseitige Politik der Sanktionen gegen den Iran war ineffizient zu_g gewinnen_g und der Versuch , andere Länder für die Linie der Vereinigten Staaten war_g zu gewinnen , ein Irrtum "" , fügen die Autoren hinzu .";Die einseitige Politik der Sanktionen gegen den Iran war ineffizient und der Versuch , andere Länder für die Linie der Vereinigten Staaten zu gewinnen , war_g ein Irrtum  , fügen die Autoren hinzu .;;
1355;(s101825_VROOT(SIMPX(VF(NX-VMOD-apn(ADJX(CARD Fünfeinhalb))(NN-apn Jahre)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF-3s(NX-ON-nsn(NE-nsn Dolgenbrodt))(PX(APPR-d in)(NX-HD-dpf(ART-dpf den)(NN-dpf Schlagzeilen)))))($D -)(PSIMPX(SIMPX-KONJ(VF-3s(NX-ON-nsn(ART-nsn ein)(NN-nsn Ende)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(ADVX(PTKNEG nicht)))(VC-VVIZU(VVIZU-OV(VVIZU abzusehen))))($, ,)(SIMPX-KONJ(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis schließt)))(MF-3s(NX-ON(NX-APP-nsf(NN-nsf Staatsanwältin))(NX-APP-nsf(NE-nsf Marx)))(ADVX(ADV doch))(ADVX(PTKNEG nicht)))(VC(PTKVZ aus))($, ,)(NF(CSIMPX(CKOU(KOUS daß))(MF-3p(ADVX(ADV noch))(NX-ON-npm(ADJX-npm(ADJA-npm andere))(NN-npm Dorfbewohner))(PX(APPR-d auf)(NX-HD-dsf(ART-dsf der)(NN-dsf Anklagebank))))(VC-VVFIN-3pis(VVFIN-HD-3pis(VVFIN-3pis landen)))))))($. .));0,91275921144723;0;0;0;0;0;1;-;Satz Koord;Fünfeinhalb Jahre ist Dolgenbrodt in den Schlagzeilen - ein Ende ist nicht abzusehen , schließt Staatsanwältin Marx doch nicht aus , daß noch andere Dorfbewohner auf der Anklagebank landen .;Fünfeinhalb Jahre ist Dolgenbrodt in den Schlagzeilen abzusehen_g - ein Ende ist nicht abzusehen , schließt Staatsanwältin Marx doch nicht aus , daß noch andere Dorfbewohner auf der Anklagebank landen .;Fünfeinhalb Jahre ist Dolgenbrodt in den Schlagzeilen - ein Ende ist nicht abzusehen , schließt Staatsanwältin Marx doch nicht aus , daß noch andere Dorfbewohner auf der Anklagebank landen .;;
1356;(s103894_VROOT(SIMPX(SIMPX-KONJ(VF(PX(APPRART-dsm Am)(NX-HD(NX-HD-dsm(ADJX-dsm(ADJA-dsm 20.))(NN-dsm Juni))($, ,)(NX(NX-HD-dsm(ART-dsm dem)(NN-dsm Tag))(NX(NX-HD-gsf(ART-gsf der)(ADJX-gsf(ADJA-gsf ersten))(NN-gsf Währungsreform))(PX(APPR-d nach)(NX-HD-dsm(ART-dsm dem)(NN-dsm Krieg))))))))($, ,)(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis wird)))(MF-3s(NX-ON-nsf3(PPER-nsf3 sie))(ADJX(NX-apn(ADJX(CARD fünfzig))(NN-apn Jahre))(ADJD alt))))($, ,)(SIMPX-KONJ(VF(PX(APPRART-dsm im)(NX-HD-dsm(NN-dsm März))))(LK-VAFIN-3sit(VAFIN-HD-3sit(VAFIN-3sit hatte)))(MF-3s(NX-ON(NX-HD-nsm(PIS-nsm einer))(NX(NX-HD-gpm(ART-gpm der)(ADJX-gpm(ADJA-gpm großen))(NN-gpm Vordenker))(NX-gsf(ART-gsf der)(ADJX-gsf(ADJA-gsf Sozialen))(NN-gsf Marktwirtschaft))))(NX-OA-asm(ART-asm den)(ADJX-asm(ADJA-asm zwanzigsten))(NN-asm Todestag)))))($. :)($. .));1;0;0;0;0;0;1;-;Satz Koord;Am 20. Juni , dem Tag der ersten Währungsreform nach dem Krieg , wird sie fünfzig Jahre alt , im März hatte einer der großen Vordenker der Sozialen Marktwirtschaft den zwanzigsten Todestag : .;Am 20. Juni , dem Tag der ersten Währungsreform nach dem Krieg , wird sie fünfzig Jahre alt , im März hatte einer der großen Vordenker der Sozialen Marktwirtschaft den zwanzigsten Todestag : .;Am 20. Juni , dem Tag der ersten Währungsreform nach dem Krieg , wird sie fünfzig Jahre alt , im März hatte einer der großen Vordenker der Sozialen Marktwirtschaft den zwanzigsten Todestag : .;;
1357;"(s104431_VROOT(SIMPX(VF-3s(NX-ON-nsn(PDAT-nsn Dieses)(NN-nsn Problem)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis stellt)))(MF(NX-OA-as*3(PRF-as*3 sich))(PX(APPR-d bei)(NX-HD(NX-HD(NX-HD-dsf(ART-dsf der)(ADJX-dsf(ADJA-dsf deutschen))(NN-dsf Ausgabe))(NX(NX-APP(NX-HD-gsn(ART-gsn des)(ADJX-gsn(NX(CARD 1995))(PX(APPR-d in)(NX-HD-dsn(NE-dsn Italien)))(ADJA-gsn erschienenen))(NN-gsn Buches))(PX(APPR-d von)(NX-HD-dsm(NE-dsm Adriano)(NE-dsm Sofri))))(NX-APP($LPar "")(NX-HD(NX-KONJ-nsm(ART-nsm Der)(NN-nsm Knoten))(KON und)(NX-KONJ-nsm(ART-nsm der)(NN-nsm Nagel)))($. .)(NX(NX-HD-nsn(ART-nsn Ein)(NN-nsn Buch))(PX(APPRART-dsf zur)(NX-HD-dsf(ADJX-dsf(ADJA-dsf linken))(NN-dsf Hand))))($RPar ""))))(PX(APPR-d in)(NX-HD(NX-HD-dsf(ART-dsf der)(NN-dsf Übersetzung))(PX(APPR-d von)(NX-HD-dsm(NE-dsm Walter)(NE-dsm Kögeler)))))))))($. .))";1;0;0;0;0;1;0;k;NP Koord in Titel + Satz Koord;"Dieses Problem stellt sich bei der deutschen Ausgabe des 1995 in Italien erschienenen Buches von Adriano Sofri "" Der Knoten und der Nagel . Ein Buch zur linken Hand "" in der Übersetzung von Walter Kögeler .";"Dieses Problem stellt sich bei der deutschen Ausgabe des 1995 in Italien erschienenen Buches von Adriano Sofri "" Der Knoten und der Nagel . Ein Buch zur linken Hand "" in der Übersetzung von Walter Kögeler .";"Dieses Problem stellt sich bei der deutschen Ausgabe des 1995 in Italien erschienenen Buches von Adriano Sofri "" Der Knoten und der Nagel . Ein Buch zur linken Hand "" in der Übersetzung von Walter Kögeler .";;
1358;"(s102244_VROOT(SIMPX(SIMPX-KONJ(VF-3s(NX-ON-nsf(ART-nsf Die)(ADJX-nsf(ADJA-nsf junge))(NN-nsf Frau)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis liest)))(MF(ADVX(PTKNEG nicht))(ADVX(ADV nur))(NX-OA-apm(ADJX-apm(ADJA-apm medizinische))(NN-apm Wälzer))))($, ,)(SIMPX-KONJ(VF-3s(NX-ON-nsf3(PPER-nsf3 sie)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis diskutiert)))(MF(ADVX(ADV auch))(NX-OA(NX-KONJ(NX-HD-asf(ART-asf die)(NN-asf Ambivalenz))($LPar "")(NX-gsf(ART-gsf der)(NN-gsf Moderne))($RPar ""))(KON und)(NX-KONJ(NX-HD-asn(ART-asn das)(NN-asn Ende))($LPar "")(NX-gsm(ART-gsm des)(NN-gsm Positivismus))($RPar "")))))($D -)(KON und)(SIMPX-KONJ(VF-3s(NX-ON-nsf3(PPER-nsf3 sie)))(LK-VAFIN-3sis(VAFIN-HD-3sis(VAFIN-3sis ist)))(MF(NX-PRED(NX-HD-nsf(ART-nsf eine)(NN-nsf Verfechterin))(NX-gsf(ART-gsf der)(NN-gsf Gleichberechtigung))))))($. :))";0,923473261888205;0;0;0;0;1;0;k;NP Koord OA + Satz Koord;"Die junge Frau liest nicht nur medizinische Wälzer , sie diskutiert auch die Ambivalenz "" der Moderne "" und das Ende "" des Positivismus "" - und sie ist eine Verfechterin der Gleichberechtigung :";"Die junge Frau liest nicht nur medizinische Wälzer , sie diskutiert auch die Ambivalenz "" der Moderne "" und auch_f das Ende "" des Positivismus "" - und sie ist eine Verfechterin der Gleichberechtigung :";"Die junge Frau liest nicht nur medizinische Wälzer , sie diskutiert auch die Ambivalenz "" der Moderne "" und das Ende "" des Positivismus "" - und sie ist eine Verfechterin der Gleichberechtigung :";;
1359;(s104538_VROOT(SIMPX(VF-3s(NX-ON-ns*(PIS-ns* Man)))(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit befürchtete)))(MF(NX-OA(NX-HD-asf(ART-asf eine)(NN-asf Konfrontation))(PX(APPR-d zwischen)(NX-HD(NX-KONJ-dpm(ADJX-dpm(ADJA-dpm britischen))(NN-dpm Schlachtenbummlern))(KON und)(NX-KONJ-dpm(ADJX-dpm(ADJA-dpm jungen))(ADJX-dpm(ADJA-dpm nordafrikanischen))(NN-dpm Migranten))))))($, ,)(NF(RSIMPX(C-3p(NX-ON-np*(PRELS-np* die)))($, ,)(MF(SIMPX-ONMOD(VC-VVPP(VVPP-HD(VVPP aufgestachelt)))(NF(PX(APPRART-dsm vom)(NX-HD(NX-HD-dsm(NN-dsm Trubel))(NX-gsn(ART-gsn des)(NN-gsn Musikfestivals))))))($, ,)(NX-OA(NX-HD-asf(ART-asf eine)(NN-asf Revanche))(PX(APPR-a für)(NX-HD(NX-HD-apm(ART-apm die)(NN-apm Schläge))(PX(APPR-d von)(NX-HD-dsn(NE-dsn Marseille)))))))(VC-VAFIN-3pkt(VVINF-OV(VVINF suchen))(VAFIN-HD-3pkt(VAFIN-3pkt würden))))))($. .));1;0;0;0;0;1;0;k;NP Koord PP;Man befürchtete eine Konfrontation zwischen britischen Schlachtenbummlern und jungen nordafrikanischen Migranten , die , aufgestachelt vom Trubel des Musikfestivals , eine Revanche für die Schläge von Marseille suchen würden .;Man befürchtete eine Konfrontation zwischen britischen Schlachtenbummlern und jungen nordafrikanischen Migranten , die , aufgestachelt vom Trubel des Musikfestivals , eine Revanche für die Schläge von Marseille suchen würden .;Man befürchtete eine Konfrontation zwischen [britischen Schlachtenbummlern und jungen nordafrikanischen Migranten] , die , aufgestachelt vom Trubel des Musikfestivals , eine Revanche für die Schläge von Marseille suchen würden .;;
1360;(s99640_VROOT(SIMPX(VF(NX-OA(NX-HD(NX-HD-apf(ART-apf Die)(NN-apf Avancen))(NX-gsm(NE-gsm Westervelles)))(PX(APPR-a an)(NX-HD-asf(ART-asf die)(NE-asf SPD)))))(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit kommentierte)))(MF-3s(NX-ON-nsm(NE-nsm Gerhardt))(PX(APPR-d mit)(NX-HD-dpn(ART-dpn den)(NN-dpn Worten)))))($. :)(SIMPX(SIMPX-KONJ(VF-3s(NX-ON-nsm(NE-nsm Westerwelle)))(LK-VAFIN-3sks(VAFIN-HD-3sks(VAFIN-3sks sei)))(MF(ADVX(ADV nun))(ADVX(ADV mal))(NX-PRED-nsm(NN-nsm Generalsekretär))))($, ,)(KON und)(SIMPX-KONJ(VF(NX-ONMOD-nsm(KOKOM als)(PIS-nsm solcher)))(LK-VAFIN-3sks(VAFIN-HD-3sks(VAFIN-3sks habe)))(MF-3s(NX-ON-nsm3(PPER-nsm3 er))(NX-OA-asn(ART-asn das)(NN-asn Recht)))($, ,)(NF(SIMPX-OAMOD(MF(PX(ADJX(ADJD weit))(APPR-a in)(NX-HD-asf(ART-asf die)(NN-asf Zukunft))))(VC-PTKZU(PTKZU-HD(PTKZU zu)(VVINF denken)))))))($. .));1;0;0;0;0;0;1;-;Satz Koord;Die Avancen Westervelles an die SPD kommentierte Gerhardt mit den Worten : Westerwelle sei nun mal Generalsekretär , und als solcher habe er das Recht , weit in die Zukunft zu denken .;Die Avancen Westervelles an die SPD kommentierte Gerhardt mit den Worten : Westerwelle sei nun mal Generalsekretär , und als solcher habe er das Recht , weit in die Zukunft zu denken .;Die Avancen Westervelles an die SPD kommentierte Gerhardt mit den Worten : Westerwelle sei nun mal Generalsekretär , und als solcher habe er das Recht , weit in die Zukunft zu denken .;;
1361;"(s100056_VROOT(SIMPX(VF(ADVX(ADV Dann)))(LK-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis redet)))(MF-3s(NX-ON-nsm3(PPER-nsm3 er))(ADVX(ADV aber))(ADVX(ADV schon))(PX(APPR-a über)(NX-HD-apm(NN-apm Räume))))($, ,)(NF(RSIMPX(C-3p(NX-ON-np*(PRELS-np* die)))(MF(ADJX($LPar "")(ADVX(ADV so))(ADJD eng)($RPar "")))(VC-VMFIN-3pis(VAINF-OV(VAINF sein))(VMFIN-HD-3pis(VMFIN-3pis müssen)))($, ,)(NF(CSIMPX($LPar "")(CKOU(KOUS daß))(MFFKOORD(MFFKONJ-KONJ(MF-1p(NX-ON-np*1(PPER-np*1 wir))(NX-OA-apn(ART-apn die)(NN-apn Kopfballduelle)))(VC-VVFIN-1pis(VVFIN-HD-1pis(VVFIN-1pis gewinnen))))(KON oder)(MFFKONJ-KONJ(MF(ADVX(ADV sofort))(ADVX(ADV da)))(VC-VAFIN-1pis(VAFIN-HD-1pis(VAFIN-1pis sind)))($, ,)(NF(CSIMPX(CKOU(KOUS wenn))(MF-3s(NX-ON-nsm(ART-nsm der)(NN-nsm Ball)))(VC-VVFIN-3sis(VVFIN-HD-3sis(VVFIN-3sis runterfällt)))))))($RPar ""))))))($. .))";0,894441115491132;0;1;0;0;0;0;f;fcr;"Dann redet er aber schon über Räume , die "" so eng "" sein müssen , "" daß wir die Kopfballduelle gewinnen oder sofort da sind , wenn der Ball runterfällt "" .";"Dann redet er aber schon über Räume , die "" so eng "" sein müssen , "" daß wir die Kopfballduelle gewinnen oder sofort da sind , wenn der Ball runterfällt "" .";"Dann redet er aber schon über Räume , die "" so eng "" sein müssen , "" daß wir die Kopfballduelle gewinnen oder daß_f wir_f sofort da sind , wenn der Ball runterfällt "" .";;
1362;(s100161_VROOT(SIMPX(SIMPX-KONJ(VF-3s(NX-ON(NX-KONJ-nsm(NE-nsm Klinsmann))($, ,)(NX-KONJ-nsm(NE-nsm Matthäus))($, ,)(NX-KONJ-nsm(NE-nsm Häßler))($, ,)(NX-KONJ-nsm(NE-nsm Kohler))(KON und)(NX-KONJ-nsm(ART-nsm der)(ADJX-nsm(ADJA-nsm eingewechselte))(NE-nsm Reuter))))(LK-VVFIN-3pit(VVFIN-HD-3pit(VVFIN-3pit standen)))(MF(PX(APPR-d in)(NX-HD(NX-HD-dsf(NX-gsm(NE-gsm Beckenbauers))(NN-dsf Finalelf))(PX(APPR-d von)(NX-HD(CARD 1990)))))))($, ,)(SIMPX-KONJ(VF-3s(NX-ON(NX-KONJ-nsm(NE-nsm Thon))(KON und)(NX-KONJ-nsm(NE-nsm Möller))))(LK-VVFIN-3pit(VVFIN-HD-3pit(VVFIN-3pit spielten)))(MF(PX(APPR-g während)(NX-HD-gsn(ART-gsn des)(NN-gsn Turniers)))))($, ,)(SIMPX-KONJ(VF-3s(NX-ON-nsm(NE-nsm Köpke)))(LK-VVFIN-3sit(VVFIN-HD-3sit(VVFIN-3sit saß)))(MF(ADVX(ADV immerhin))(PX(APPR-d auf)(NX-HD-dsf(ART-dsf der)(NN-dsf Bank))))))($. .));1;0;0;0;0;1;0;k;NP Koord SB + Satz Koord;Klinsmann , Matthäus , Häßler , Kohler und der eingewechselte Reuter standen in Beckenbauers Finalelf von 1990 , Thon und Möller spielten während des Turniers , Köpke saß immerhin auf der Bank .;Klinsmann , Matthäus , Häßler , Kohler und der eingewechselte Reuter standen in Beckenbauers Finalelf von 1990 , Thon und Möller spielten während des Turniers , Köpke saß immerhin auf der Bank .;[Klinsmann , Matthäus , Häßler , Kohler und der eingewechselte Reuter] standen in Beckenbauers Finalelf von 1990 , Thon und Möller spielten während des Turniers , Köpke saß immerhin auf der Bank .;;
