Sent_no;Original sentence;Comments;Canonical form;gold2 (LCO);General order of re-inspection;FCR;Gapping;FG;BCR;SGF;Sentence Length
s21852;Einzelne Parlamentarier treten ins Rostrum vor , bekunden ihre Thesen zum Thema Liebe . ;;Einzelne Parlamentarier treten ins Rostrum vor , einzelne_f Parlamentarier_f  bekunden ihre Thesen zum Thema Liebe . ;Einzelne Parlamentarier treten ins Rostrum vor , bekunden ihre Thesen zum Thema Liebe . ;;1;0;0;0;0;14
s9686;Einziger Unterschied : Der NABU wirbt Mitglieder , der BUND nur Förderer , die aber ebenfalls ständig über die Arbeit der Ortsgruppe informiert werden und natürlich das Verbandsorgan im Briefkasten finden . ;;Einziger Unterschied : Der NABU wirbt Mitglieder , der BUND wirbt_g nur Förderer , die aber ebenfalls ständig über die Arbeit der Ortsgruppe informiert werden und die_f natürlich das Verbandsorgan im Briefkasten finden . ;;;1;1;0;0;0;32
s23911;"Else Lasker-Schüler hat aber auch Dramen geschrieben ( Die Wupper , 1919 ; Arthur Aronymus und seine Väter , 1932 ; Ichundich , 1940 / 41 ) , und ist als Pamphletistin , Essayistin , Theater- und Literaturkritikerin hervorgetreten . ";;"Else Lasker-Schüler hat aber auch Dramen geschrieben ( Die Wupper , 1919 ; Arthur Aronymus und seine Väter , 1932 ; Ichundich , 1940 / 41 ) , und Else_f Lasker-Schüler_f ist als Pamphletistin , Essayistin , Theater- und Literaturkritikerin hervorgetreten . ";;;1;0;0;0;0;40
s36818;Ende des 18. Jahrhunderts begannen einige Leute im Lauschatal , lange Glasröhren aus den Hütten in Heimarbeit unter Öllampen wieder zu schmelzen und so vor allem Perlen , später auch Glasspielzeug und Früchte , herzustellen . ;Does bcr work with the comm afrer Früchte;Ende des 18. Jahrhunderts begannen einige Leute im Lauschatal , lange Glasröhren aus den Hütten in Heimarbeit unter Öllampen wieder zu schmelzen und so vor allem Perlen herzustellen_b , so_f später auch Glasspielzeug und Früchte , herzustellen . ;Ende des 18. Jahrhunderts begannen einige Leute im Lauschatal , lange Glasröhren aus den Hütten in Heimarbeit unter Öllampen wieder zu schmelzen und so vor allem Perlen , später auch Glasspielzeug und Früchte , herzustellen . ;;0;0;0;0;0;36
s33035;Ende gut , alles gut , auch wenn die Liebenden sich trennen und es zum Schluß keine hübschen buntgetupften Bambis gibt . ;;Ende gut , alles gut , auch wenn die Liebenden sich trennen und auch_f wenn_f es zum Schluß keine hübschen buntgetupften Bambis gibt . ;Ende gut , alles gut , auch wenn die Liebenden sich trennen und es zum Schluß keine hübschen buntgetupften Bambis gibt . ;;1;0;0;0;0;22
s44102;Ende September beschäftigten die Düsseldorfer 2871 Männer und Frauen und damit 353 weniger als zuvor . ;;Ende September beschäftigten die Düsseldorfer 2871 Männer und Frauen und Ende_fg September_fg beschäftigten_fg die_fg Düsseldorfer_fg damit 353 weniger als zuvor . ;Ende September beschäftigten die Düsseldorfer 2871 Männer und Frauen und damit 353 weniger als zuvor . ;;0;0;1;0;0;16
s34418;Entgegen dem Urteil des Bundesverfassungsgerichts vom Januar entschied das höchste bayerische Gericht , daß Sitzblockierer etwa dann eine Straftat begingen , wenn sie `` in mehreren Reihen eingehakt auf der Straße sitzen und einem Demonstrationszug die gesamte Geh- und Fahrbahn versperren '' ( Az. : 4 St RR 186 / 95 ) . ;;Entgegen dem Urteil des Bundesverfassungsgerichts vom Januar entschied das höchste bayerische Gericht , daß Sitzblockierer etwa dann eine Straftat begingen , wenn sie `` in mehreren Reihen eingehakt auf der Straße sitzen und wenn_f sie_f einem Demonstrationszug die gesamte Geh- und Fahrbahn versperren '' ( Az. : 4 St RR 186 / 95 ) . ;;;1;0;0;0;0;53
s39677;Entscheidend ist , daß die Fusion in mindestens drei EU-Staaten nach nationalem Recht kontrollpflichtig ist und bestimmte Umsätze überschritten werden : zusammen weltweit 2,5 Milliarden Ecu ( 4,9 Milliarden Mark ) . ;;Entscheidend ist , daß die Fusion in mindestens drei EU-Staaten nach nationalem Recht kontrollpflichtig ist und daß_f bestimmte Umsätze überschritten werden : zusammen weltweit 2,5 Milliarden Ecu ( 4,9 Milliarden Mark ) . ;;;1;0;0;0;0;32
s5727;Entsetzt strömten die Menschen auf die Straßen , lauschten mit Tränen in den Augen den Berichten aus Transitorradios . ;;Entsetzt strömten die Menschen auf die Straßen , die_s Menschen_s lauschten mit Tränen in den Augen den Berichten aus Transitorradios . ;;;0;0;0;0;1;19
s40030;Entsprechend den für 43 Länder geltenden Grundsatzvereinbarungen wird BP auch hierzulande das Kraft- und Brennstoffgeschäft führen und für die gemeinsam genutzten Leistungen wie Personal , Rechnungswesen und Informationssysteme zuständig sein . ;;Entsprechend den für 43 Länder geltenden Grundsatzvereinbarungen wird BP auch hierzulande das Kraft- und Brennstoffgeschäft führen und entsprechend_fg den_fg für_fg 43_fg Länder_fg geltenden_fg Grundsatzvereinbarungen_fg wird_fg BP_fg auch_fg hierzulande_fg für die gemeinsam genutzten Leistungen wie Personal , Rechnungswesen und Informationssysteme zuständig sein . ;;;0;0;1;0;0;31
s45630;Entsprechend unternehmungslustig hatten sich die Deutschen in ihre Freizeit gestürzt , waren - in diesem Fall - mit ihren Fahrrädern den Neckar entlang geradelt und vertrauten nun auf die Versprechungen der Deutschen Bahn , daß es kein Problem mehr sei , das Rad mit in den Zug zu nehmen . ;;Entsprechend unternehmungslustig hatten sich die Deutschen in ihre Freizeit gestürzt , die_s Deutschen_s waren - in diesem Fall - mit ihren Fahrrädern den Neckar entlang geradelt und die_f Deutschen_f vertrauten nun auf die Versprechungen der Deutschen Bahn , daß es kein Problem mehr sei , das Rad mit in den Zug zu nehmen . ;;;1;0;0;0;1;50
s24682;Entweder wird er die israelische Gesellschaft von den Halluzinationen über ihre nationale und biblische Überlegenheit befreien , was wir sehr hoffen und sogar erwarten , oder diese Gesellschaft wird daran zugrunde gehen . ;;Entweder wird er die israelische Gesellschaft von den Halluzinationen über ihre nationale und biblische Überlegenheit befreien , was wir sehr hoffen und was_f wir_f sogar erwarten , oder diese Gesellschaft wird daran zugrunde gehen . ;;;1;0;0;0;0;33
s11306;Er `` schreibt '' Geschichte - von unten , ist auf seiten derer , die er festhält . ;;Er `` schreibt '' Geschichte - von unten , er_f ist auf seiten derer , die er festhält . ;Er `` schreibt '' Geschichte - von unten , ist auf seiten derer , die er festhält . ;;1;0;0;0;0;18
s38447;Er absolvierte die ebenfalls als elitäre Zuchtanstalten angesehene Wirtschaftshochschule HEC und das Institut für politische Wissenschaften , war als Industrieanwalt tätig und lehrte als Wirtschaftsprofessor an der Universität Paris-Nanterre . ;;Er absolvierte die ebenfalls als elitäre Zuchtanstalten angesehene Wirtschaftshochschule HEC und das Institut für politische Wissenschaften , er_f war als Industrieanwalt tätig und  er_f lehrte als Wirtschaftsprofessor an der Universität Paris-Nanterre . ;;;1;0;0;0;0;30
s42899;Er baute dessen dominierende Position aus und machte den Coca-Cola-Markennamen zum bekanntesten rund um den Globus . ;;Er baute dessen dominierende Position aus und er_f machte den Coca-Cola-Markennamen zum bekanntesten rund um den Globus . ;Er baute dessen dominierende Position aus und machte den Coca-Cola-Markennamen zum bekanntesten rund um den Globus . ;;1;0;0;0;0;17
s22126;Er beansprucht kein nationales Gebiet und verurteilt nicht . ;;Er beansprucht kein nationales Gebiet und er_f verurteilt nicht . ;Er beansprucht kein nationales Gebiet und verurteilt nicht . ;;1;0;0;0;0;9
s8736;Er beanstandete beispielsweise , daß die Republik außenpolitisch `` in Pantoffeln statt Kürassierstiefeln '' auftrete , und meinte , daß eine Freundschaft mit den Franzosen , `` diesen eitlen , unwissenden und sadistischen Menschen für Deutsche unmöglich '' sei . ;;Er beanstandete beispielsweise , daß die Republik außenpolitisch `` in Pantoffeln statt Kürassierstiefeln '' auftrete , und er_f meinte , daß eine Freundschaft mit den Franzosen , `` diesen eitlen , unwissenden und sadistischen Menschen für Deutsche unmöglich '' sei . ;;;1;0;0;0;0;40
s25380;Er beendet seine acht Minuten lange Rede mit einer Ankündigung , die wie ein Donnerschlag wirkt , den Parteitag für 20 Sekunden in Aufruhr versetzt : ;;Er beendet seine acht Minuten lange Rede mit einer Ankündigung , die wie ein Donnerschlag wirkt , die_f den Parteitag für 20 Sekunden in Aufruhr versetzt : ;;;1;0;0;0;0;26
s1929;Er befürchtet , daß Betriebsräte unter Druck gesetzt und Unternehmen gegeneinander ausgespielt werden könnten . ;;Er befürchtet , daß Betriebsräte unter Druck gesetzt  werden_b könnten_b und daß_f Unternehmen gegeneinander ausgespielt werden könnten . ;;;1;0;0;1;0;15
s20720;Er begann im Honecker-Prozeß , mußte jedoch wegen der Peinlichkeit einer falschen Angabe ausscheiden . ;;Er begann im Honecker-Prozeß , er_f mußte jedoch wegen der Peinlichkeit einer falschen Angabe ausscheiden . ;Er begann im Honecker-Prozeß , mußte jedoch wegen der Peinlichkeit einer falschen Angabe ausscheiden . ;;1;0;0;0;0;15
s15015;Er begrüßte zwar das Angebot , auf reale Einkommenssteigerungen zu verzichten und untertarifliche Bezahlung von Dauerarbeitslosen zu ermöglichen , lehnte aber die im Gegenzug von der IG Metall verlangten Leistungen von Bundesregierung und Wirtschaft ab . ;;Er begrüßte zwar das Angebot , auf reale Einkommenssteigerungen zu verzichten und untertarifliche Bezahlung von Dauerarbeitslosen zu ermöglichen , er_f lehnte aber die im Gegenzug von der IG Metall verlangten Leistungen von Bundesregierung und Wirtschaft ab . ;;;1;0;0;0;0;36
s9662;Er beklagte : `` Die Deutschen boykottieren den Shell-Konzern und fliegen und rasen dennoch weiter wie die Weltmeister . '' ;;Er beklagte : `` Die Deutschen boykottieren den Shell-Konzern und die_f Deutschen_f   fliegen dennoch_b  weiter_b  wie_b  die_b  Weltmeister_b  und die_f Deutschen_f   rasen dennoch weiter wie die Weltmeister . '' ;Er beklagte : `` Die Deutschen boykottieren den Shell-Konzern und fliegen und rasen dennoch weiter wie die Weltmeister . '' ;;1;0;0;1;0;20
s9959;Er bemüht sich , das bisherige Rekordjahr 1989 `` nicht nur zu erreichen , sondern leicht zu übertreffen '' . ;;Er bemüht sich , das bisherige Rekordjahr 1989 `` nicht nur zu erreichen , sondern das_f bisherige_f Rekordjahr_f 1989_f  leicht zu übertreffen '' . ;Er bemüht sich , das bisherige Rekordjahr 1989 `` nicht nur zu erreichen , sondern leicht zu übertreffen '' . ;;1;0;0;0;0;20
s47880;Er berichtet über die ( wenigen ) Mitglieder des Reservepolizeibataillons 101 in Hamburg , die die Teilnahme an einer Erschießungsaktion der Nazis verweigerten - und straflos blieben . ;;Er berichtet über die ( wenigen ) Mitglieder des Reservepolizeibataillons 101 in Hamburg , die die Teilnahme an einer Erschießungsaktion der Nazis verweigerten - und die_f straflos blieben . ;;;1;0;0;0;0;28
s1813;Er beschwört die `` gefährliche Entindustriealisierung '' der früheren DDR , geißelt die Finanzierung von Erwerbslosigkeit statt Arbeit , rügt die Unehrlichkeit der Politiker mit den Menschen in Ost und West . ;;Er beschwört die `` gefährliche Entindustriealisierung '' der früheren DDR , er_f geißelt die Finanzierung von Erwerbslosigkeit statt Arbeit , er_f rügt die Unehrlichkeit der Politiker mit den Menschen in Ost und West . ;;;1;0;0;0;0;32
s42667;Er brach die im Juni begonnenen Verhandlungen über eine Anschlußregelung zum bald auslaufenden Standortsicherungsvertrag für die drei westdeutschen Werke Rüsselsheim , Bochum und Kaiserslautern ab und zog vor das Arbeitsgericht Darmstadt , um der Truppe den Zugang zu versperren . ;;Er brach die im Juni begonnenen Verhandlungen über eine Anschlußregelung zum bald auslaufenden Standortsicherungsvertrag für die drei westdeutschen Werke Rüsselsheim , Bochum und Kaiserslautern ab und er_f zog vor das Arbeitsgericht Darmstadt , um der Truppe den Zugang zu versperren . ;;;1;0;0;0;0;40
s6059;Er büßte und wurde abgestraft , aber er überlebte . ;nicht maximum CCE reduziert : er_f;Er büßte und er_f wurde abgestraft , aber er überlebte . ;Er büßte und wurde abgestraft , aber er überlebte . ;;1;0;0;0;0;10
s9495;Er entnimmt Patienten Krebszellen und mischt diese mit gentechnisch veränderten Zellen , denen die Produktionsanleitung für das immunstimulierende Hormon Interleukin 2 eingebaut wurde . ;;Er entnimmt Patienten Krebszellen und er_f mischt diese mit gentechnisch veränderten Zellen , denen die Produktionsanleitung für das immunstimulierende Hormon Interleukin 2 eingebaut wurde . ;Er entnimmt Patienten Krebszellen und mischt diese mit gentechnisch veränderten Zellen , denen die Produktionsanleitung für das immunstimulierende Hormon Interleukin 2 eingebaut wurde . ;;1;0;0;0;0;24
s34751;Er fabuliert vom eigenen Denkmal - `` ist doch eine Sehenswürdigkeit '' - , er nimmt sich einen Block , kritzelt und imitiert den Professor . ;;Er fabuliert vom eigenen Denkmal - `` ist doch eine Sehenswürdigkeit '' - , er nimmt sich einen Block , er_f kritzelt und er_f imitiert den Professor . ;;;1;0;0;0;0;26
s4668;Er gestand seine `` vom Himmel befohlene '' Mordtat und zeigte keine Reue . ;;Er gestand seine `` vom Himmel befohlene '' Mordtat und er_f zeigte keine Reue . ;Er gestand seine `` vom Himmel befohlene '' Mordtat und zeigte keine Reue . ;;1;0;0;0;0;14
s35870;er gilt als Chef des militärischen Flügels der `` Gamaa '' und wird beschuldigt , von Pakistan aus Anschläge organisiert zu haben , so auch das fehlgeschlagene Attentat auf Mubarak Ende Juni in der äthiopischen Hauptstadt Addis Abeba . ;LDG MAIN stripping;er gilt als Chef des militärischen Flügels der `` Gamaa '' und er_f wird beschuldigt , von Pakistan aus Anschläge organisiert zu haben , so wird_g  er_g  beschuldigt_g  von_g Pakistan_g aus_g auch das fehlgeschlagene Attentat auf Mubarak Ende Juni in der äthiopischen Hauptstadt Addis Abeba organisiert_g zu_g haben_g . ;;;1;1;0;0;0;39
s6596;Er gilt nach Einschätzung der Ermittler als Mitglied der Kommandoebene der Bewaffneten Islamischen Gruppe ( GIA ) in Europa , soll deren Verbindungsmann in Frankreich und insgesamt die `` Nummer zwei '' der GIA gewesen sein . ;;Er gilt nach Einschätzung der Ermittler als Mitglied der Kommandoebene der Bewaffneten Islamischen Gruppe ( GIA ) in Europa , er_f soll deren Verbindungsmann in Frankreich gewesen_b sein_b und er_fg soll_fg insgesamt die `` Nummer zwei '' der GIA gewesen sein . ;;;1;0;1;1;0;37
s4519;Er habe schon seit längerer Zeit befürchtet , `` daß irgendein Rattenfänger aus der rechtsradikalen Ecke sich dieses Themas bemächtigt , um Angst zu schüren und Stimmen zu fangen '' , sagte Henkel in einem Interview des Nachrichtenmagazins Focus . ;;Er habe schon seit längerer Zeit befürchtet , `` daß irgendein Rattenfänger aus der rechtsradikalen Ecke sich dieses Themas bemächtigt , um Angst zu schüren und um_f  Stimmen zu fangen '' , sagte Henkel in einem Interview des Nachrichtenmagazins Focus . ;;;1;0;0;0;0;40
s15257;Er habe sein Arbeitsverhältnis , ungeachtet der formalen Kündigung , gelöst , denn er sei mit seiner Entlassung einverstanden gewesen und habe faktisch einen Aufhebungsvertrag angenommen . ;;Er habe sein Arbeitsverhältnis , ungeachtet der formalen Kündigung , gelöst , denn er sei mit seiner Entlassung einverstanden gewesen und er_f habe faktisch einen Aufhebungsvertrag angenommen . ;;;1;0;0;0;0;27
s49232;Er habe seine Freundin bedroht , sie geschlagen und gezwungen , mitzumachen . ;;Er habe seine Freundin bedroht , er_fg habe_fg sie geschlagen und er_fg habe_fg sie_fg gezwungen , mitzumachen . ;Er habe seine Freundin bedroht , sie geschlagen und gezwungen , mitzumachen . ;;0;0;1;0;0;13
s34494;Er habe sich um die dafür notwendige Zustimmung beider Parlamentskammern bemüht und `` bedauere '' sehr , daß ihm dies nicht gelungen sei . ;;Er habe sich um die dafür notwendige Zustimmung beider Parlamentskammern bemüht und er_f `` bedauere '' sehr , daß ihm dies nicht gelungen sei . ;Er habe sich um die dafür notwendige Zustimmung beider Parlamentskammern bemüht und `` bedauere '' sehr , daß ihm dies nicht gelungen sei . ;;1;0;0;0;0;24
s4762;Er hat Arbeit als Bauarbeiter gefunden und denkt nicht an Rückkehr . ;;Er hat Arbeit als Bauarbeiter gefunden und er_f denkt nicht an Rückkehr . ;Er hat Arbeit als Bauarbeiter gefunden und denkt nicht an Rückkehr . ;;1;0;0;0;0;12
s18232;Er hat seinen zweiten Platz im Rennen um den Parteivorsitz noch immer nicht verwunden und kreidet deshalb dem Westerwälder Hinterwäldlertum gerade in wirtschaftlichen Belangen an . ;;Er hat seinen zweiten Platz im Rennen um den Parteivorsitz noch immer nicht verwunden und er_f kreidet deshalb dem Westerwälder Hinterwäldlertum gerade in wirtschaftlichen Belangen an . ;;;1;0;0;0;0;26
s11321;Er hat über zwanzig Photobücher veröffentlicht , auf Friedhöfen in Italien , Frankreich , Spanien , Portugal die Denkmäler photographiert , die die Lebenden ihren lieben Toten errichteten , rührende Zeugnisse von Anhänglichkeit , symbolischen Kitsch , milden Größenwahn , er ist auf Goethes Spuren gewandelt und hat Serien von Landschaften aufgenommen , die nicht nur die Blitze ( und die Farbe ) zu `` romantischen '' machen . ;;Er hat über zwanzig Photobücher veröffentlicht , er_fg hat_fg auf Friedhöfen in Italien , Frankreich , Spanien , Portugal die Denkmäler photographiert , die die Lebenden ihren lieben Toten errichteten , rührende Zeugnisse von Anhänglichkeit , symbolischen Kitsch , milden Größenwahn , er ist auf Goethes Spuren gewandelt und er_fg hat Serien von Landschaften aufgenommen , die nicht nur die Blitze ( und die Farbe ) zu `` romantischen '' machen . ;Er hat über zwanzig Photobücher veröffentlicht , er_fg hat_fg auf Friedhöfen in Italien , Frankreich , Spanien , Portugal die Denkmäler photographiert , die die Lebenden ihren lieben Toten errichteten , er_g hat_g rührende Zeugnisse von Anhänglichkeit , symbolischen Kitsch , milden Größenwahn photographiert_g , er ist auf Goethes Spuren gewandelt und er_fg hat Serien von Landschaften aufgenommen , die nicht nur die Blitze ( und die Farbe ) zu `` romantischen '' machen . ;;0;0;1;0;0;69
s12940;Er hatte die Übertragungsrechte an den Cupspielen und im UEFA-Pokal 1992/93 auf sechs Jahre hinaus an die beiden Agenturen Ufa ( Bertelsmann ) und ISPR ( Springer / Kirch ) vergeben und kassierte dafür 360 Millionen . ;;Er hatte die Übertragungsrechte an den Cupspielen und im UEFA-Pokal 1992/93 auf sechs Jahre hinaus an die beiden Agenturen Ufa ( Bertelsmann ) und ISPR ( Springer / Kirch ) vergeben und er_f kassierte dafür 360 Millionen . ;;;1;0;0;0;0;37
s44666;Er hatte ebenfalls viel getrunken und war nach einem häuslichen Streit abgeführt worden , weil er Widerstand gegen die Beamten geleistet hatte . ;;Er hatte ebenfalls viel getrunken und er_f war nach einem häuslichen Streit abgeführt worden , weil er Widerstand gegen die Beamten geleistet hatte . ;Er hatte ebenfalls viel getrunken und war nach einem häuslichen Streit abgeführt worden , weil er Widerstand gegen die Beamten geleistet hatte . ;;1;0;0;0;0;23
s49206;Er hatte unter anderem angeboten , die Eingangssätze `` in Richtung auf 20 Prozent '' und die Spitzensätze für Private nur `` unter 50 Prozent '' zu drücken . ;bcr not maximum, however blocked by quotes???;Er hatte unter anderem angeboten , die Eingangssätze `` in Richtung auf 20 Prozent '' zu_b drücken_b und die Spitzensätze für Private nur `` unter 50 Prozent '' zu drücken . ;;;0;0;0;1;0;29
s31804;Er herzt die Serviererinnen , scherzt mit den chinesischen Gastgebern beim Bankett und erweist sich als trinkfest , wenn ein Moutai nach dem anderen im Anschluß an Tischreden gekippt wird . ;;Er herzt die Serviererinnen , er_f scherzt mit den chinesischen Gastgebern beim Bankett und er_f erweist sich als trinkfest , wenn ein Moutai nach dem anderen im Anschluß an Tischreden gekippt wird . ;;;1;0;0;0;0;31
s23453;Er identifizierte Nilakout vor Gericht als Täter und erklärte , er hoffe auf die Todesstrafe . ;;Er identifizierte Nilakout vor Gericht als Täter und er_f erklärte , er hoffe auf die Todesstrafe . ;Er identifizierte Nilakout vor Gericht als Täter und erklärte , er hoffe auf die Todesstrafe . ;;1;0;0;0;0;16
s5841;Er ist Chef der Exekutive - das Amt des Regierungschefs wird abgeschafft - , kann aber das Parlament nicht auflösen . ;;Er ist Chef der Exekutive - das Amt des Regierungschefs wird abgeschafft - , er_f kann aber das Parlament nicht auflösen . ;Er ist Chef der Exekutive - das Amt des Regierungschefs wird abgeschafft - , kann aber das Parlament nicht auflösen . ;;1;0;0;0;0;21
s16849;Er ist der Größte und sie strahlend schön . ;;Er ist der Größte und sie ist_g strahlend schön . ;;;0;1;0;0;0;9
s4338;Er ist der Mann , der die Konzepte entwickelt , die Visionen formuliert . ;;Er ist der Mann , der die Konzepte entwickelt , der_f die Visionen formuliert . ;Er ist der Mann , der die Konzepte entwickelt , die Visionen formuliert . ;;1;0;0;0;0;14
s11489;Er ist derzeit einer der gefragtesten Gesprächspartner in Rußland und dennoch ein großer Unbekannter . ;;Er ist derzeit einer der gefragtesten Gesprächspartner in Rußland und er_fg ist_fg dennoch ein großer Unbekannter . ;;;0;0;1;0;0;15
s489;Er ist ein Familienvater , der um sich herum die Familien in Auflösung sah , aber für sich und die Seinen Raum in der Revolution schuf , die Vorteile wie kostenlose Gesundheitsversorgung und Ausbildung schätzte und kaum beklagte , daß er kein eigenes Auto besaß . ;;Er ist ein Familienvater , der um sich herum die Familien in Auflösung sah , der_f aber für sich und die Seinen Raum in der Revolution schuf , der_f die Vorteile wie kostenlose Gesundheitsversorgung und Ausbildung schätzte und der_f kaum beklagte , daß er kein eigenes Auto besaß . ;;;1;0;0;0;0;46
s7099;Er ist ein moralisches Wesen , das das Leben bejaht , verzichten und maßhalten kann und sich verantwortlich für andere , sich selbst und das nicht-menschliche Leben zeigt , durch und durch geprägt von der Idee der `` Co-Existenz '' . ;gold 3 for local das;Er ist ein moralisches Wesen , das das Leben bejaht , das_f verzichten kann_b und das_f maßhalten kann und das_f sich verantwortlich für andere zeigt_b ,_b durch_b und_b durch_b geprägt_b von_b der_b Idee_b der_b ``_b Co-Existenz_b ''_b , das_f sich selbst zeigt_b ,_b durch_b und_b durch_b geprägt_b von_b der_b Idee_b der_b ``_b Co-Existenz_b ''_b und das_f das nicht-menschliche Leben zeigt , durch und durch geprägt von der Idee der `` Co-Existenz '' . ;Er ist ein moralisches Wesen , das das Leben bejaht , das_f verzichten kann_b und das_f maßhalten kann und das_f sich verantwortlich für andere zeigt_b , das_f sich selbst zeigt_b und das_f das nicht-menschliche Leben zeigt , durch und durch geprägt von der Idee der `` Co-Existenz '' . ;;1;0;0;1;0;41
s36371;Er ist intelligent , schlagfertig , sprachbegabt , ein guter Tennisspieler und kann sogar `` rapen '' ( Rap tanzen ) , kurz : Er ist geradezu herausfordernd modern . ;;Er ist intelligent , er_fg ist_fg schlagfertig , er_fg ist_fg  sprachbegabt , er_fg ist_fg ein guter Tennisspieler und er_f kann sogar `` rapen '' ( Rap tanzen ) , kurz : Er ist geradezu herausfordernd modern . ;Er ist intelligent , schlagfertig , sprachbegabt , ein guter Tennisspieler und kann sogar `` rapen '' ( Rap tanzen ) , kurz : Er ist geradezu herausfordernd modern . ;;1;0;1;0;0;30
s39961;Er ist mit der herkömmlichen Eisenbahn nicht kompatibel , sondern erfordert eine ganz eigene , teure Infrastruktur : die Stelzen . ;;Er ist mit der herkömmlichen Eisenbahn nicht kompatibel , sondern er_f erfordert eine ganz eigene , teure Infrastruktur : die Stelzen . ;Er ist mit der herkömmlichen Eisenbahn nicht kompatibel , sondern erfordert eine ganz eigene , teure Infrastruktur : die Stelzen . ;;1;0;0;0;0;21
s34707;Er ist seither beharrlich Umwege gegangen , hat sich unter Söldner begeben und ist von den Warheads zum Totmacher , aus dem Dschungel von Guayana in ein Göttinger Untersuchungszimmer gekommen . ;;Er ist seither beharrlich Umwege gegangen , er_f hat sich unter Söldner begeben und er_f ist von den Warheads zum Totmacher gekommen_b , er_fg ist_fg aus dem Dschungel von Guayana in ein Göttinger Untersuchungszimmer gekommen . ;;;1;0;1;1;0;31
s30337;Er ist sich durchaus über seine Schwächen im klaren , nahm auch Ratschläge auf , war aber unter zunehmendem Erwartungsdruck nicht mehr in der Lage , sie umzusetzen . ;;Er ist sich durchaus über seine Schwächen im klaren , er_f nahm auch Ratschläge auf , er_f war aber unter zunehmendem Erwartungsdruck nicht mehr in der Lage , sie umzusetzen . ;;;1;0;0;0;0;29
s42804;Er ist sicher , daß die deutschen Kellereien ihre `` führende Position auch künftig halten und sogar noch ausbauen können '' . ;;Er ist sicher , daß die deutschen Kellereien ihre `` führende Position auch künftig halten können_b und daß_f die_f deutschen_f Kellereien_f ihre_f ``_f führende_f Position_f auch_f künftig_f sogar noch ausbauen können '' . ;Er ist sicher , daß die deutschen Kellereien ihre `` führende Position auch künftig halten und sogar noch ausbauen können '' . ;;1;0;0;1;0;22
s47459;Er ist sicher , daß sein Konzept ankommt , muß aber , wie er einräumt , nun fleißig Passagen verkaufen : ;;Er ist sicher , daß sein Konzept ankommt , er_f muß aber , wie er einräumt , nun fleißig Passagen verkaufen : ;Er ist sicher , daß sein Konzept ankommt , muß aber , wie er einräumt , nun fleißig Passagen verkaufen : ;;1;0;0;0;0;21
s49648;Er ist von Geburt Tutsi , verleugnete dies aber und arbeitete sich bei den Hutu-Milizen ganz nach oben . ;;Er ist von Geburt Tutsi , er_f verleugnete dies aber und er_f arbeitete sich bei den Hutu-Milizen ganz nach oben . ;Er ist von Geburt Tutsi , verleugnete dies aber und arbeitete sich bei den Hutu-Milizen ganz nach oben . ;;1;0;0;0;0;19
s20641;Er machte aus dem Kulturetat umgerechnet fünf Millionen Mark Grundkapital locker und verschaffte sich damit etwas , was in Iran unweigerlich zu einer Hausmacht gehört : ein Sprachrohr . ;;Er machte aus dem Kulturetat umgerechnet fünf Millionen Mark Grundkapital locker und er_f verschaffte sich damit etwas , was in Iran unweigerlich zu einer Hausmacht gehört : ein Sprachrohr . ;;;1;0;0;0;0;29
s48911;Er malte tanzend und schrieb zeichnend , der international renommierte Schweizer Künstler Martin Disler , der am 27. August im vergangenen Jahr an einem Hirnschlag starb . ;;Er malte tanzend und er_f schrieb zeichnend , der international renommierte Schweizer Künstler Martin Disler , der am 27. August im vergangenen Jahr an einem Hirnschlag starb . ;;;1;0;0;0;0;27
s35348;Er marschiert durch Straßen und Landschaften , unterhält sich im Vorbeigehen mit anderen Figuren , holt sich ein Buch aus der `` digitalen Bibliothek '' und betritt die `` Interactive Bank '' , um sich dort vom Anlageberater ein paar Tips geben zu lassen . ;;Er marschiert durch Straßen und Landschaften , er_f unterhält sich im Vorbeigehen mit anderen Figuren , er_f holt sich ein Buch aus der `` digitalen Bibliothek '' und er_f  betritt die `` Interactive Bank '' , um sich dort vom Anlageberater ein paar Tips geben zu lassen . ;;;1;0;0;0;0;45
s983;Er muß dann nur noch den vermieteten Teil des Hauses versteuern - kann aber auch nur die darauf entfallenden Kosten gegenrechnen . ;;Er muß dann nur noch den vermieteten Teil des Hauses versteuern - er_f kann aber auch nur die darauf entfallenden Kosten gegenrechnen . ;;;1;0;0;0;0;22
s26301;Er muß vorbereitet werden auf die Teilnahme an einer Gesellschaft , in der über Werte verhandelt und entschieden wird . ;;Er muß vorbereitet werden auf die Teilnahme an einer Gesellschaft , in der über Werte verhandelt und in_f der_f  über_f Werte_f  entschieden wird . ;Er muß vorbereitet werden auf die Teilnahme an einer Gesellschaft , in der über Werte verhandelt und entschieden wird . ;;1;0;0;0;0;20
s49219;Er rief Dagmar K. an , bat um ein Treffen . ;;Er rief Dagmar K. an , er_f bat um ein Treffen . ;Er rief Dagmar K. an , bat um ein Treffen . ;;1;0;0;0;0;11
s32414;Er schafft es nicht , legt dabei aber durchaus seine Wissenslücken peinlich bloß . ;;Er schafft es nicht , er_f legt dabei aber durchaus seine Wissenslücken peinlich bloß . ;Er schafft es nicht , legt dabei aber durchaus seine Wissenslücken peinlich bloß . ;;1;0;0;0;0;14
